Release,Tracks,play time in minutes
Personal Jesus,8,41.8
A Broken Frame,10,40.9
A Broken Frame,11,47.1
Construction Time Again,10,42.5
Construction Time Again,10,42.5
Some Great Reward,9,40.4
Construction Time Again,10,49.9
Construction Time Again,10,49.9
Shake the Disease,6,37.7
Stripped,7,33.3
A Question of Time,8,49.9
Little 15,3,14.4
Strangelove,8,41.1
Never Let Me Down Again,8,39.4
Behind the Wheel,7,44.6
In Your Room,3,20.9
Strangelove,2,7.9
A Question of Lust,5,24.1
In Your Room,12,68.8
Barrel of a Gun,7,49.8
Barrel of a Gun,9,60.8
Blasphemous Rumours,4,21.6
Blasphemous Rumours,5,25.0
Condemnation,7,39.1
Condemnation,9,51.6
See You,3,13.0
Enjoy the Silence,1,15.6
Enjoy the Silence,9,56.0
Enjoy the Silence,4,20.1
Enjoy the Silence,4,20.9
In Your Room,2,12.7
Leave in Silence,4,18.7
Speak & Spell,16,62.2
The Niagara Radiostation Mix,11,68.5
The Singles Tour: '86-'98 (disc 1),13,70.3
Catching Up With Depeche Mode,13,52.1
101,20,95.9
Music for the Masses,14,62.8
Get the Balance Right!,4,20.5
Speak & Spell,11,45.0
Exciter,13,56.8
Some Great Reward,9,40.4
People Are People,9,41.0
A Question of Time,5,27.1
Condemnation,4,23.3
Everything Counts: Live,7,38.2
In Your Room,4,23.6
New Life,3,15.3
It's Called a Heart,5,29.2
Songs of Faith and Devotion,10,47.5
The Singles 81>85,17,69.4
Just Can’t Get Enough,3,16.2
Just Can’t Get Enough,4,19.4
Barrel of a Gun (disc 1),4,24.9
Barrel of a Gun (disc 2),3,24.9
It's No Good (disc 2),4,22.2
Home,4,21.9
Useless,3,20.6
Only When I Lose Myself,11,71.7
World in My Eyes,4,22.6
World in My Eyes,11,66.8
The Meaning of Love,4,20.0
Personal Jesus,9,45.0
Strangelove,5,21.5
Stripped,5,25.0
Everything Counts (In Larger Amounts),3,18.4
Love in Itself,4,23.7
Love in Itself,5,27.9
Master and Servant,4,26.4
Policy of Truth,8,46.7
I Feel You,8,50.7
I Feel You,1,4.6
Violator,9,46.6
People Are People,3,19.3
World in My Eyes,7,40.4
Walking in My Shoes,8,44.8
Everything Counts,4,22.7
Everything Counts: Live,11,57.6
Leave in Silence,5,21.9
It's No Good,5,30.5
It's No Good,8,47.1
Home / Useless,3,13.8
Useless,8,53.4
Home,8,42.7
Dream On,5,26.8
Dream On,9,46.4
Dream On,5,29.0
I Feel Loved,5,33.2
Personal Jesus,8,42.0
"2001-09-23: Parken Stadium, Copenhagen, Denmark (disc 1)",10,52.4
Shake the Disease,4,25.0
A Question of Lust,5,25.0
Only When I Lose Myself,3,17.8
Everything Counts,6,25.9
Only When I Lose Myself,5,38.3
Freelove,3,16.1
Get the Balance Right,6,31.2
Goodnight Lovers,4,23.4
Home,4,20.8
Love in Itself,6,29.2
Only When I Lose Myself,3,15.3
People Are People,4,23.3
Useless,3,19.1
Master and Servant,5,30.5
World in My Eyes,6,37.6
Black Celebration,14,54.7
Songs of Faith and Devotion: Live,10,52.9
Only When I Lose Myself,5,28.4
Walking in My Shoes,8,45.3
Walking in My Shoes,4,20.6
Home / Useless,8,49.3
Policy of Truth,3,19.2
Policy of Truth,5,26.8
Some Great Reward,9,40.4
Blasphemous Rumours,5,25.0
Never Let Me Down Again,4,22.1
Never Let Me Down Again: Remixes,4,23.2
Behind the Wheel,6,34.7
Behind the Wheel,3,16.2
Little 15,2,8.7
Little 15,3,14.4
Behind the Wheel,4,19.5
Remixes 81-04 (disc 4: rare tracks),13,88.4
Gold Collection,12,76.6
Construction Time Again,10,50.0
Exciter,13,56.8
Remixes 81-04,12,78.9
Dreaming of Me,2,7.7
Dreaming of Me,2,8.1
Dreaming of Me,2,7.7
Behind the Wheel,7,44.6
Love in Itself,5,27.9
World in My Eyes,10,58.8
World in My Eyes,4,19.9
A Question of Time in Stockholm,20,99.8
The Ultimate Collection of Lost Mixes & Goretrax,18,72.6
A Broken Frame,10,40.9
In Your Room,11,63.9
Enjoy the Silence 04,6,42.8
Dreaming of Me,2,7.7
New Life,3,15.3
See You,3,13.0
The Meaning of Love,4,20.0
Forbidden Fruits: The Hedonist Mixes,8,78.2
Black Celebration,14,54.7
Speak & Spell,16,62.2
Leave in Silence,5,21.9
Everything Counts,4,22.7
Get the Balance Right!,4,20.5
Ultra,12,60.2
New Life,3,15.3
Policy of Truth,3,19.2
Personal Jesus,3,14.7
I Feel You,4,22.8
Walking in My Shoes,4,20.6
Walking in My Shoes,4,24.6
Condemnation,4,23.3
Condemnation: Live...,4,21.8
Useless,3,19.1
